id_student,final_result,total_clicks,active_days,avg_daily_clicks,first_active_day,last_active_day,quizzes_attempted,avg_quiz_score,date_registration,date_unregistration,unregistered_flag
11391,Pass,934.0,40.0,4.76530612244898,-5.0,253.0,5.0,82.0,-159.0,0.0,0
28400,Pass,1435.0,80.0,3.3372093023255816,-10.0,239.0,5.0,66.4,-53.0,0.0,0
30268,Withdrawn,281.0,12.0,3.6973684210526314,-10.0,12.0,0.0,0.0,-92.0,12.0,1
31604,Pass,2158.0,123.0,3.2549019607843137,-10.0,264.0,5.0,76.0,-52.0,0.0,0
32885,Pass,1034.0,70.0,2.9375,-10.0,247.0,5.0,54.4,-176.0,0.0,0
38053,Pass,2445.0,143.0,3.3817427385892116,-10.0,267.0,5.0,68.0,-110.0,0.0,0
45462,Pass,1492.0,90.0,4.20281690140845,-10.0,267.0,5.0,68.0,-67.0,0.0,0
45642,Pass,1428.0,105.0,2.689265536723164,-9.0,264.0,5.0,72.4,-29.0,0.0,0
52130,Pass,1894.0,122.0,3.193929173693086,-4.0,245.0,5.0,71.4,-33.0,0.0,0
53025,Pass,3158.0,142.0,3.493362831858407,-7.0,257.0,5.0,78.0,-179.0,0.0,0
57506,Pass,1319.0,90.0,3.272952853598015,-10.0,243.0,5.0,74.0,-103.0,0.0,0
58873,Pass,1732.0,120.0,3.2927756653992395,-10.0,256.0,5.0,73.2,-47.0,0.0,0
59185,Pass,1102.0,61.0,3.1942028985507247,-10.0,245.0,5.0,78.6,-59.0,0.0,0
62155,Pass,3388.0,148.0,3.45361875637105,-10.0,265.0,5.0,76.0,-68.0,0.0,0
63400,Pass,2737.0,175.0,3.6013157894736842,-10.0,268.0,5.0,71.6,-67.0,0.0,0
65002,Withdrawn,176.0,13.0,3.142857142857143,-10.0,215.0,4.0,67.0,-180.0,96.0,1
70464,Pass,1053.0,46.0,5.136585365853659,-10.0,248.0,5.0,55.6,-95.0,0.0,0
71361,Pass,2327.0,135.0,3.1964285714285716,-10.0,243.0,5.0,80.4,-130.0,0.0,0
74372,Fail,116.0,14.0,1.6111111111111112,-5.0,213.0,4.0,48.5,-50.0,0.0,0
75091,Pass,2992.0,122.0,3.9681697612732094,-10.0,254.0,5.0,66.0,-107.0,0.0,0
77367,Pass,680.0,86.0,2.5092250922509227,-10.0,250.0,5.0,70.4,-27.0,0.0,0
91265,Pass,1494.0,125.0,3.0120967741935485,-8.0,259.0,5.0,70.8,-31.0,0.0,0
94961,Withdrawn,1240.0,93.0,2.973621103117506,-24.0,265.0,6.0,65.33333333333333,-170.0,72.0,1
98094,Pass,2839.0,91.0,7.3549222797927465,-10.0,264.0,5.0,60.6,-107.0,0.0,0
100893,Pass,744.0,52.0,3.0617283950617282,-9.0,250.0,5.0,68.4,-62.0,0.0,0
101781,Pass,4104.0,144.0,4.495071193866375,-10.0,268.0,5.0,72.6,-103.0,0.0,0
102806,Pass,1944.0,177.0,2.4891165172855314,-10.0,267.0,5.0,78.0,-107.0,0.0,0
102952,Pass,1150.0,58.0,3.6741214057507987,-3.0,246.0,5.0,76.6,-100.0,0.0,0
104476,Pass,4777.0,161.0,4.815524193548387,-10.0,258.0,5.0,79.6,-109.0,0.0,0
106247,Withdrawn,465.0,33.0,3.206896551724138,12.0,150.0,3.0,60.0,5.0,175.0,1
106577,Pass,733.0,47.0,3.316742081447964,-10.0,253.0,5.0,53.4,-107.0,0.0,0
110175,Pass,998.0,70.0,2.9096209912536444,-10.0,242.0,5.0,63.4,-110.0,0.0,0
111717,Pass,2343.0,136.0,3.9779286926994906,-10.0,249.0,3.0,81.0,-43.0,0.0,0
113295,Pass,3553.0,195.0,3.5494505494505493,-9.0,261.0,5.0,77.6,-26.0,0.0,0
114017,Pass,757.0,50.0,3.277056277056277,-9.0,257.0,5.0,71.8,-29.0,0.0,0
114999,Pass,1358.0,120.0,2.6627450980392156,-10.0,264.0,5.0,72.8,-68.0,0.0,0
116541,Pass,1886.0,108.0,3.669260700389105,0.0,242.0,5.0,62.4,-68.0,0.0,0
116692,Pass,1108.0,98.0,3.562700964630225,-10.0,228.0,5.0,74.2,-32.0,0.0,0
118983,Pass,284.0,27.0,2.5585585585585586,-10.0,268.0,5.0,61.8,-99.0,0.0,0
123044,Pass,2041.0,127.0,3.401666666666667,-10.0,247.0,5.0,71.4,-82.0,0.0,0
127582,Pass,1321.0,89.0,3.0022727272727274,-10.0,240.0,5.0,69.6,-31.0,0.0,0
129955,Withdrawn,1888.0,110.0,3.515828677839851,-10.0,141.0,6.0,81.0,-197.0,143.0,1
132976,Pass,520.0,32.0,3.4210526315789473,-10.0,242.0,5.0,67.4,-75.0,0.0,0
134143,Distinction,2732.0,138.0,4.801405975395431,-10.0,268.0,5.0,84.4,-96.0,0.0,0
135335,Withdrawn,73.0,14.0,2.1470588235294117,-24.0,24.0,0.0,0.0,-82.0,30.0,1
135400,Withdrawn,610.0,43.0,3.01980198019802,-11.0,233.0,7.0,53.142857142857146,-51.0,144.0,1
137873,Pass,5528.0,192.0,3.923349893541519,-10.0,250.0,5.0,80.2,-195.0,0.0,0
141355,Pass,1823.0,92.0,3.1162393162393163,-9.0,256.0,5.0,72.6,-61.0,0.0,0
141377,Withdrawn,756.0,41.0,3.024,-2.0,241.0,6.0,48.833333333333336,-127.0,129.0,1
142326,Pass,2121.0,95.0,3.3613312202852614,-5.0,242.0,5.0,73.6,-37.0,0.0,0
144801,Pass,5645.0,200.0,3.484567901234568,-10.0,267.0,5.0,68.8,-67.0,0.0,0
145130,Pass,452.0,35.0,3.033557046979866,-10.0,261.0,5.0,54.4,-36.0,0.0,0
146188,Fail,597.0,32.0,3.109375,-10.0,255.0,5.0,50.0,-132.0,0.0,0
147756,Fail,1718.0,127.0,2.911864406779661,-10.0,245.0,9.0,68.66666666666667,-92.0,0.0,0
147793,Withdrawn,155.0,9.0,3.7804878048780486,-9.0,59.0,1.0,52.0,-138.0,58.0,1
148993,Withdrawn,3812.0,198.0,2.99685534591195,-24.0,269.0,8.0,79.5,-174.0,158.0,1
151358,Pass,270.0,20.0,3.033707865168539,2.0,242.0,5.0,50.0,-44.0,0.0,0
155550,Pass,1529.0,81.0,3.649164677804296,-10.0,243.0,5.0,67.0,-16.0,0.0,0
155854,Pass,4003.0,202.0,4.156801661474558,-10.0,267.0,5.0,79.8,-54.0,0.0,0
155984,Withdrawn,2645.0,134.0,3.2816377171215882,-24.0,243.0,7.0,78.14285714285714,-156.0,191.0,1
157568,Pass,1405.0,87.0,3.639896373056995,-9.0,241.0,5.0,70.6,-52.0,0.0,0
159954,Withdrawn,2062.0,124.0,3.182098765432099,-24.0,201.0,5.0,68.2,-46.0,201.0,1
164259,Pass,466.0,51.0,1.9497907949790796,-10.0,263.0,5.0,71.8,-64.0,0.0,0
167906,Pass,1510.0,99.0,2.9320388349514563,-10.0,258.0,5.0,69.4,-117.0,0.0,0
168936,Pass,745.0,42.0,2.466887417218543,0.0,257.0,5.0,66.4,-32.0,0.0,0
172112,Pass,1939.0,135.0,2.781922525107604,-10.0,263.0,5.0,69.6,-50.0,0.0,0
172797,Pass,1782.0,86.0,4.293975903614458,-10.0,268.0,5.0,61.4,-45.0,0.0,0
174782,Pass,6318.0,249.0,3.8454047474132684,-10.0,268.0,5.0,80.4,-162.0,0.0,0
175392,Pass,4447.0,197.0,3.3920671243325704,-10.0,266.0,5.0,82.4,-195.0,0.0,0
175932,Pass,2016.0,97.0,4.613272311212815,-10.0,253.0,5.0,78.2,-92.0,0.0,0
175991,Fail,138.0,17.0,2.76,-7.0,242.0,5.0,37.6,-57.0,0.0,0
180753,Pass,2012.0,157.0,2.344988344988345,-10.0,263.0,5.0,53.4,-64.0,0.0,0
181316,Withdrawn,487.0,20.0,3.3586206896551722,-10.0,66.0,1.0,76.0,-39.0,60.0,1
183096,Pass,1975.0,116.0,3.610603290676417,-10.0,242.0,5.0,54.0,-128.0,0.0,0
183947,Pass,964.0,58.0,2.619565217391304,-3.0,253.0,5.0,49.0,-32.0,0.0,0
184271,Pass,1312.0,147.0,2.750524109014675,-10.0,263.0,5.0,59.8,-74.0,0.0,0
185439,Fail,427.0,15.0,4.313131313131313,-10.0,39.0,1.0,74.0,-12.0,0.0,0
186149,Pass,2136.0,109.0,3.651282051282051,-10.0,267.0,5.0,76.0,-109.0,0.0,0
187100,Distinction,8562.0,231.0,4.454734651404786,-10.0,265.0,5.0,89.2,-136.0,0.0,0
188278,Withdrawn,4497.0,167.0,3.0160965794768613,-24.0,266.0,6.0,71.66666666666667,-64.0,60.0,1
189879,Pass,1541.0,84.0,3.486425339366516,-8.0,248.0,5.0,79.4,-180.0,0.0,0
192183,Pass,3219.0,176.0,4.003731343283582,-10.0,242.0,5.0,68.4,-62.0,0.0,0
195262,Withdrawn,1905.0,58.0,5.411931818181818,-5.0,183.0,1.0,50.0,-45.0,185.0,1
200860,Pass,534.0,81.0,1.9071428571428573,-10.0,252.0,5.0,54.4,-54.0,0.0,0
202635,Withdrawn,1418.0,47.0,4.774410774410774,-10.0,143.0,3.0,66.66666666666667,-73.0,166.0,1
205350,Pass,1665.0,126.0,2.9573712255772646,-10.0,268.0,5.0,72.2,-68.0,0.0,0
205719,Fail,333.0,32.0,2.8461538461538463,-1.0,215.0,3.0,56.666666666666664,-51.0,0.0,0
227499,Distinction,2953.0,162.0,3.6592317224287485,-10.0,243.0,5.0,83.6,-169.0,0.0,0
227517,Fail,1205.0,69.0,3.1136950904392764,-10.0,262.0,5.0,62.6,-172.0,0.0,0
228082,Pass,227.0,37.0,1.6691176470588236,-10.0,243.0,5.0,72.4,-31.0,0.0,0
